"fips","dem_amount","rep_amount"
36001,808427.848952704,213544.033201278
36003,121965.683116139,32216.9058358269
36005,3752849.48374064,991305.056837788
36007,504068.018602917,133148.20591558
36009,201420.275145932,53204.6217592509
36011,202634.877748399,53525.4557567481
36013,335809.834555279,88703.2609681702
36015,220840.685820235,58334.4707954864
36017,124918.834541745,32996.9728101338
36019,212978.846317121,56257.7871210545
36021,157345.283976671,41562.3318631425
36023,125908.510736348,33258.3931043908
36025,116789.729542227,30849.6916765576
36027,778557.62198833,205653.893410976
36029,2431062.83244371,642158.682284737
36031,97604.8300479221,25782.0522825383
36033,132367.867931603,34964.6148645013
36035,141261.722717859,37313.9025890943
36037,151573.936970177,40037.8461364727
36039,124868.556874105,32983.6920999978
36041,11685.5884368069,3086.71662951577
36043,162261.91063328,42861.0455174994
36045,290641.965663101,76772.2903727888
36047,6773997.48554062,1789333.14312666
36049,69584.2920141022,18380.5028282941
36051,166482.588522027,43975.9261841837
36053,187723.580003515,49586.6767242931
36055,1962866.60660559,518485.913558857
36057,130248.267311611,34404.7280845552
36059,3590682.83605657,948469.174771073
36061,4309870.47114087,1138440.64646561
36063,553797.924285189,146284.226209622
36065,605107.607208578,159837.540395834
36067,1218645.98542251,321902.046186059
36069,290491.13266018,76732.4482423806
36071,1018625.54639141,269067.187356386
36073,106779.18129575,28205.4323899956
36075,309932.712878754,81867.8891565682
36077,157429.962153749,41584.6993749506
36079,260173.699073111,68724.1800303421
36081,5964143.33854276,1575412.35714836
36083,419987.881150221,110938.664659639
36085,1259966.2896437,332816.692963661
